log_timestamp_verbose,log_timestamp_posix,timestamp_verbose,timestamp_posix,interval_sec,msg_source,msg_type,msg_count,msg_served,msg_rejected
2021-01-01 00:36:34.081447,1609461394.0814214,2021-01-01 00:36:34.78,1609461394.078221,300.0,daisy-anthem,MAP,300,NA,NA
2021-01-01 00:36:34.081789,1609461394.0817683,2021-01-01 00:36:34.79,1609461394.079399,300.0,daisy-anthem,SPaT,3001,NA,NA
2021-01-01 00:38:43.279111,1609461523.27907,2021-01-01 00:38:43.278,1609461523.278353,300.0,daisy-anthem,SRM,0,0,0
2021-01-01 00:41:34.009464,1609461694.0094233,2021-01-01 00:41:34.8,1609461694.008591,300.0,daisy-anthem,RemoteBSM,0,NA,NA
2021-01-01 00:41:34.100282,1609461694.100245,2021-01-01 00:41:34.99,1609461694.099466,300.0,daisy-anthem,SSM,0,NA,NA
2021-01-01 00:41:34.100788,1609461694.10076,2021-01-01 00:41:34.100,1609461694.10004,300.0,daisy-anthem,MAP,300,NA,NA
2021-01-01 00:41:34.101194,1609461694.1011705,2021-01-01 00:41:34.100,1609461694.100577,300.0,daisy-anthem,SPaT,2999,NA,NA
2021-01-01 00:43:43.839215,1609461823.8391733,2021-01-01 00:43:43.838,1609461823.838449,300.0,daisy-anthem,SRM,0,0,0
2021-01-01 00:46:34.005935,1609461994.0058982,2021-01-01 00:46:34.5,1609461994.005023,300.0,daisy-anthem,SSM,0,NA,NA
2021-01-01 00:46:34.007201,1609461994.0071714,2021-01-01 00:46:34.6,1609461994.006428,300.0,daisy-anthem,MAP,300,NA,NA
2021-01-01 00:46:34.008406,1609461994.0083742,2021-01-01 00:46:34.7,1609461994.007609,300.0,daisy-anthem,SPaT,2998,NA,NA
2021-01-01 00:46:34.013301,1609461994.013269,2021-01-01 00:46:34.12,1609461994.012493,300.0,daisy-anthem,RemoteBSM,0,NA,NA
2021-01-01 00:48:43.359229,1609462123.359185,2021-01-01 00:48:43.358,1609462123.358413,300.0,daisy-anthem,SRM,0,0,0
2021-01-01 00:51:34.003782,1609462294.0037513,2021-01-01 00:51:34.3,1609462294.002994,300.0,daisy-anthem,SSM,0,NA,NA
2021-01-01 00:51:34.004272,1609462294.0042446,2021-01-01 00:51:34.3,1609462294.003555,300.0,daisy-anthem,MAP,299,NA,NA
2021-01-01 00:51:34.004682,1609462294.0046558,2021-01-01 00:51:34.4,1609462294.004068,300.0,daisy-anthem,SPaT,2999,NA,NA
2021-01-01 00:51:34.007699,1609462294.0076694,2021-01-01 00:51:34.7,1609462294.006985,300.0,daisy-anthem,RemoteBSM,0,NA,NA
2021-01-01 00:53:43.919291,1609462423.9192512,2021-01-01 00:53:43.918,1609462423.918397,300.0,daisy-anthem,SRM,0,0,0
2021-01-01 00:56:34.011081,1609462594.0110433,2021-01-01 00:56:34.10,1609462594.010205,300.0,daisy-anthem,RemoteBSM,0,NA,NA
2021-01-01 00:56:34.039716,1609462594.0396729,2021-01-01 00:56:34.38,1609462594.0388,300.0,daisy-anthem,SSM,0,NA,NA
2021-01-01 00:56:34.040280,1609462594.04025,2021-01-01 00:56:34.39,1609462594.039479,300.0,daisy-anthem,MAP,300,NA,NA
2021-01-01 00:56:34.040876,1609462594.0408368,2021-01-01 00:56:34.40,1609462594.040107,300.0,daisy-anthem,SPaT,3000,NA,NA
2021-01-01 00:58:43.439246,1609462723.4392028,2021-01-01 00:58:43.438,1609462723.438455,300.0,daisy-anthem,SRM,0,0,0
2021-01-01 01:01:34.015163,1609462894.0150955,2021-01-01 01:01:34.13,1609462894.013533,300.0,daisy-anthem,SSM,0,NA,NA
2021-01-01 01:01:34.016243,1609462894.0161824,2021-01-01 01:01:34.14,1609462894.014786,300.0,daisy-anthem,MAP,300,NA,NA
2021-01-01 01:01:34.017479,1609462894.017405,2021-01-01 01:01:34.16,1609462894.015995,300.0,daisy-anthem,SPaT,3000,NA,NA
2021-01-01 01:01:34.018770,1609462894.0187402,2021-01-01 01:01:34.16,1609462894.016193,300.0,daisy-anthem,RemoteBSM,0,NA,NA
2021-01-01 01:03:43.999050,1609463023.9990113,2021-01-01 01:03:43.998,1609463023.998352,300.0,daisy-anthem,SRM,0,0,0
2021-01-01 01:06:34.007598,1609463194.0075598,2021-01-01 01:06:34.6,1609463194.006692,300.0,daisy-anthem,RemoteBSM,0,NA,NA
2021-01-01 01:06:34.048360,1609463194.048322,2021-01-01 01:06:34.46,1609463194.046219,300.0,daisy-anthem,SSM,0,NA,NA
2021-01-01 01:06:34.048878,1609463194.0488474,2021-01-01 01:06:34.46,1609463194.046906,300.0,daisy-anthem,MAP,301,NA,NA
2021-01-01 01:06:34.049381,1609463194.049354,2021-01-01 01:06:34.47,1609463194.047476,300.0,daisy-anthem,SPaT,3001,NA,NA
2021-01-01 01:08:43.519234,1609463323.5191917,2021-01-01 01:08:43.518,1609463323.518483,300.0,daisy-anthem,SRM,0,0,0
2021-01-01 01:11:34.007838,1609463494.0078027,2021-01-01 01:11:34.6,1609463494.006865,300.0,daisy-anthem,RemoteBSM,0,NA,NA
2021-01-01 01:11:34.092155,1609463494.092118,2021-01-01 01:11:34.91,1609463494.091274,300.0,daisy-anthem,SSM,0,NA,NA
2021-01-01 01:11:34.092690,1609463494.0926569,2021-01-01 01:11:34.91,1609463494.09193,300.0,daisy-anthem,MAP,300,NA,NA
2021-01-01 01:11:34.093264,1609463494.0932333,2021-01-01 01:11:34.92,1609463494.092537,300.0,daisy-anthem,SPaT,3001,NA,NA
2021-01-01 01:13:43.039142,1609463623.0390966,2021-01-01 01:13:43.38,1609463623.038356,300.0,daisy-anthem,SRM,0,0,0
2021-01-01 01:16:34.007885,1609463794.0078444,2021-01-01 01:16:34.6,1609463794.006787,300.0,daisy-anthem,RemoteBSM,0,NA,NA
2021-01-01 01:16:34.072255,1609463794.0722232,2021-01-01 01:16:34.71,1609463794.071453,300.0,daisy-anthem,SSM,0,NA,NA
2021-01-01 01:16:34.073318,1609463794.0732887,2021-01-01 01:16:34.72,1609463794.072664,300.0,daisy-anthem,MAP,300,NA,NA
2021-01-01 01:16:34.074233,1609463794.0742078,2021-01-01 01:16:34.73,1609463794.073648,300.0,daisy-anthem,SPaT,3000,NA,NA
2021-01-01 01:18:43.599077,1609463923.5990396,2021-01-01 01:18:43.598,1609463923.598319,300.0,daisy-anthem,SRM,0,0,0
2021-01-01 01:21:34.002620,1609464094.0025816,2021-01-01 01:21:34.1,1609464094.001691,300.0,daisy-anthem,RemoteBSM,0,NA,NA
2021-01-01 01:21:34.022175,1609464094.0221307,2021-01-01 01:21:34.21,1609464094.021022,300.0,daisy-anthem,SSM,0,NA,NA
2021-01-01 01:21:34.031769,1609464094.031737,2021-01-01 01:21:34.21,1609464094.021732,300.0,daisy-anthem,MAP,300,NA,NA
2021-01-01 01:21:34.032232,1609464094.0322025,2021-01-01 01:21:34.22,1609464094.022373,300.0,daisy-anthem,SPaT,3000,NA,NA
2021-01-01 01:23:43.118954,1609464223.1189122,2021-01-01 01:23:43.118,1609464223.118288,300.0,daisy-anthem,SRM,0,0,0
2021-01-01 01:26:34.007675,1609464394.0076349,2021-01-01 01:26:34.6,1609464394.006701,300.0,daisy-anthem,RemoteBSM,0,NA,NA
2021-01-01 01:26:34.061281,1609464394.0612426,2021-01-01 01:26:34.60,1609464394.060376,300.0,daisy-anthem,SSM,0,NA,NA
2021-01-01 01:26:34.061784,1609464394.0617573,2021-01-01 01:26:34.61,1609464394.061001,300.0,daisy-anthem,MAP,300,NA,NA
2021-01-01 01:26:34.062207,1609464394.0621784,2021-01-01 01:26:34.61,1609464394.061559,300.0,daisy-anthem,SPaT,3000,NA,NA
2021-01-01 01:28:43.689125,1609464523.689086,2021-01-01 01:28:43.688,1609464523.688309,300.0,daisy-anthem,SRM,0,0,0
2021-01-01 01:31:34.001628,1609464694.001589,2021-01-01 01:31:34.0,1609464694.000776,300.0,daisy-anthem,SSM,0,NA,NA
2021-01-01 01:31:34.002198,1609464694.00217,2021-01-01 01:31:34.1,1609464694.001369,300.0,daisy-anthem,MAP,300,NA,NA
2021-01-01 01:31:34.002646,1609464694.0026207,2021-01-01 01:31:34.1,1609464694.001933,300.0,daisy-anthem,SPaT,3000,NA,NA
2021-01-01 01:31:34.024480,1609464694.0244484,2021-01-01 01:31:34.23,1609464694.023742,300.0,daisy-anthem,RemoteBSM,0,NA,NA
2021-01-01 01:33:43.199226,1609464823.1991818,2021-01-01 01:33:43.198,1609464823.198388,300.0,daisy-anthem,SRM,0,0,0
2021-01-01 01:36:34.007209,1609464994.0071762,2021-01-01 01:36:34.6,1609464994.006444,300.0,daisy-anthem,RemoteBSM,0,NA,NA
2021-01-01 01:36:34.069255,1609464994.0691884,2021-01-01 01:36:34.67,1609464994.06752,300.0,daisy-anthem,SSM,0,NA,NA
2021-01-01 01:36:34.070862,1609464994.0708337,2021-01-01 01:36:34.70,1609464994.070138,300.0,daisy-anthem,MAP,300,NA,NA
2021-01-01 01:36:34.071788,1609464994.0717635,2021-01-01 01:36:34.71,1609464994.071202,300.0,daisy-anthem,SPaT,3002,NA,NA
2021-01-01 01:38:43.760442,1609465123.760359,2021-01-01 01:38:43.758,1609465123.758908,300.0,daisy-anthem,SRM,0,0,0
2021-01-01 01:41:34.001730,1609465294.0016916,2021-01-01 01:41:34.0,1609465294.000833,300.0,daisy-anthem,SSM,0,NA,NA
2021-01-01 01:41:34.002278,1609465294.002251,2021-01-01 01:41:34.1,1609465294.001486,300.0,daisy-anthem,MAP,300,NA,NA
2021-01-01 01:41:34.002810,1609465294.0027792,2021-01-01 01:41:34.2,1609465294.002097,300.0,daisy-anthem,SPaT,3000,NA,NA
2021-01-01 01:41:34.007344,1609465294.0073123,2021-01-01 01:41:34.6,1609465294.00653,300.0,daisy-anthem,RemoteBSM,0,NA,NA
2021-01-01 01:43:43.279011,1609465423.2789779,2021-01-01 01:43:43.278,1609465423.278319,300.0,daisy-anthem,SRM,0,0,0
2021-01-01 01:46:34.008312,1609465594.0082755,2021-01-01 01:46:34.7,1609465594.007438,300.0,daisy-anthem,SSM,0,NA,NA
2021-01-01 01:46:34.009407,1609465594.0093803,2021-01-01 01:46:34.8,1609465594.008746,300.0,daisy-anthem,MAP,300,NA,NA
2021-01-01 01:46:34.010325,1609465594.0103004,2021-01-01 01:46:34.9,1609465594.009739,300.0,daisy-anthem,SPaT,3001,NA,NA
2021-01-01 01:46:34.036915,1609465594.03689,2021-01-01 01:46:34.36,1609465594.036245,300.0,daisy-anthem,RemoteBSM,0,NA,NA
2021-01-01 01:48:43.839115,1609465723.839079,2021-01-01 01:48:43.838,1609465723.838337,300.0,daisy-anthem,SRM,0,0,0
2021-01-01 01:51:34.007595,1609465894.0075586,2021-01-01 01:51:34.6,1609465894.006753,300.0,daisy-anthem,RemoteBSM,0,NA,NA
2021-01-01 01:51:34.038731,1609465894.0386963,2021-01-01 01:51:34.37,1609465894.037775,300.0,daisy-anthem,SSM,0,NA,NA
2021-01-01 01:51:34.039216,1609465894.0391898,2021-01-01 01:51:34.38,1609465894.038505,300.0,daisy-anthem,MAP,300,NA,NA
2021-01-01 01:51:34.039668,1609465894.0396433,2021-01-01 01:51:34.39,1609465894.039045,300.0,daisy-anthem,SPaT,3001,NA,NA
2021-01-01 01:53:43.359115,1609466023.359081,2021-01-01 01:53:43.358,1609466023.35835,300.0,daisy-anthem,SRM,0,0,0
2021-01-01 01:56:34.007895,1609466194.0078566,2021-01-01 01:56:34.6,1609466194.006792,300.0,daisy-anthem,RemoteBSM,0,NA,NA
