At 1591743381.83 	 CP:	 4 	 227.63 	  8 	 227.63 	 0 	 227.63	 0 	 227.63	 0 	 227.63	 0 	 227.63	 0 	 227.63	 0 	 227.63	 0 	 227.63	 0 	 227.63	 1 	 0.00	 1 	 0.00	 1 	 0.00	 1 	 0.00
At 1591743381.95 	 CP:	 4 	 227.75 	  8 	 227.75 	 0 	 227.75	 0 	 227.75	 0 	 227.75	 0 	 227.75	 0 	 227.75	 0 	 227.75	 0 	 227.75	 0 	 227.75	 1 	 0.00	 1 	 0.00	 1 	 0.00	 1 	 0.00
At 1591743382.08 	 CP:	 4 	 227.87 	  8 	 227.87 	 0 	 227.87	 0 	 227.87	 0 	 227.87	 0 	 227.87	 0 	 227.87	 0 	 227.87	 0 	 227.87	 0 	 227.87	 1 	 0.00	 1 	 0.00	 1 	 0.00	 1 	 0.00
At 1591743382.20 	 CP:	 4 	 227.99 	  8 	 227.99 	 0 	 227.99	 0 	 227.99	 0 	 227.99	 0 	 227.99	 0 	 227.99	 0 	 227.99	 0 	 227.99	 0 	 227.99	 1 	 0.00	 1 	 0.00	 1 	 0.00	 1 	 0.00
At 1591743382.32 	 CP:	 4 	 228.12 	  8 	 228.12 	 0 	 228.12	 0 	 228.12	 0 	 228.12	 0 	 228.12	 0 	 228.12	 0 	 228.12	 0 	 228.12	 0 	 228.12	 1 	 0.00	 1 	 0.00	 1 	 0.00	 1 	 0.00
At 1591743382.44 	 CP:	 4 	 228.24 	  8 	 228.24 	 0 	 228.24	 0 	 228.24	 0 	 228.24	 0 	 228.24	 0 	 228.24	 0 	 228.24	 0 	 228.24	 0 	 228.24	 1 	 0.00	 1 	 0.00	 1 	 0.00	 1 	 0.00
At 1591743382.56 	 CP:	 4 	 228.36 	  8 	 228.36 	 0 	 228.36	 0 	 228.36	 0 	 228.36	 0 	 228.36	 0 	 228.36	 0 	 228.36	 0 	 228.36	 0 	 228.36	 1 	 0.00	 1 	 0.00	 1 	 0.00	 1 	 0.00
At 1591743382.68 	 CP:	 4 	 228.48 	  8 	 228.48 	 0 	 228.48	 0 	 228.48	 0 	 228.48	 0 	 228.48	 0 	 228.48	 0 	 228.48	 0 	 228.48	 0 	 228.48	 1 	 0.00	 1 	 0.00	 1 	 0.00	 1 	 0.00
At 1591743382.81 	 CP:	 4 	 228.60 	  8 	 228.60 	 0 	 228.60	 0 	 228.60	 0 	 228.60	 0 	 228.60	 0 	 228.60	 0 	 228.60	 0 	 228.60	 0 	 228.60	 1 	 0.00	 1 	 0.00	 1 	 0.00	 1 	 0.00
At 1591743382.93 	 CP:	 4 	 228.72 	  8 	 228.72 	 0 	 228.72	 0 	 228.72	 0 	 228.72	 0 	 228.72	 0 	 228.72	 0 	 228.72	 0 	 228.72	 0 	 228.72	 1 	 0.00	 1 	 0.00	 1 	 0.00	 1 	 0.00
At 1591743383.05 	 CP:	 4 	 228.85 	  8 	 228.85 	 0 	 228.85	 0 	 228.85	 0 	 228.85	 0 	 228.85	 0 	 228.85	 0 	 228.85	 0 	 228.85	 0 	 228.85	 1 	 0.00	 1 	 0.00	 1 	 0.00	 1 	 0.00
At 1591743383.17 	 CP:	 4 	 228.97 	  8 	 228.97 	 0 	 228.97	 0 	 228.97	 0 	 228.97	 0 	 228.97	 0 	 228.97	 0 	 228.97	 0 	 228.97	 0 	 228.97	 1 	 0.00	 1 	 0.00	 1 	 0.00	 1 	 0.00
At 1591743383.29 	 CP:	 4 	 229.09 	  8 	 229.09 	 0 	 229.09	 0 	 229.09	 0 	 229.09	 0 	 229.09	 0 	 229.09	 0 	 229.09	 0 	 229.09	 0 	 229.09	 1 	 0.00	 1 	 0.00	 1 	 0.00	 1 	 0.00
At 1591743383.42 	 CP:	 4 	 229.21 	  8 	 229.21 	 0 	 229.21	 0 	 229.21	 0 	 229.21	 0 	 229.21	 0 	 229.21	 0 	 229.21	 0 	 229.21	 0 	 229.21	 1 	 0.00	 1 	 0.00	 1 	 0.00	 1 	 0.00
