Controller IP Address is:	10.12.6.17
Controller Port is:	501
Current RSU ID daisy_anthem
/nojournal/bin/ConfigInfo_Anthem.txt
Current timing plan is:	32546
Phase_Num 8Phase_Seq 1 2 3 4 5 6 7 8Gmin	4	15	4	8	4	15	4	8Yellow	3	3.6	3	4	3	3.6	3	4Red	1	3.1	1	4.3	1	3.1	1	4.3Gmax	16	49	29	26	34	31	17	38PedWalk	0	7	0	7	0	7	0	7PedClr	0	39	0	40	0	39	0	40 Cannot connect to RSU!!!!!  At time: 1591741632.29 
 Cannot connect to RSU!!!!!  At time: 1591741638.70 
 Cannot connect to RSU!!!!!  At time: 1591741645.11 
 Cannot connect to RSU!!!!!  At time: 1591741651.51 
 Cannot connect to RSU!!!!!  At time: 1591741657.92 
 Cannot connect to RSU!!!!!  At time: 1591741664.33 
 Cannot connect to RSU!!!!!  At time: 1591741670.74 
 Cannot connect to RSU!!!!!  At time: 1591741677.15 
 Cannot connect to RSU!!!!!  At time: 1591741683.56 
 Cannot connect to RSU!!!!!  At time: 1591741689.96 
 Cannot connect to RSU!!!!!  At time: 1591741696.37 
 Cannot connect to RSU!!!!!  At time: 1591741702.78 
 Cannot connect to RSU!!!!!  At time: 1591741709.19 
 Cannot connect to RSU!!!!!  At time: 1591741715.60 
 Cannot connect to RSU!!!!!  At time: 1591741722.00 
 Cannot connect to RSU!!!!!  At time: 1591741728.41 
 Cannot connect to RSU!!!!!  At time: 1591741734.82 
 Cannot connect to RSU!!!!!  At time: 1591741741.23 
 Cannot connect to RSU!!!!!  At time: 1591741747.64 
 Cannot connect to RSU!!!!!  At time: 1591741754.04 
 Cannot connect to RSU!!!!!  At time: 1591741760.45 
 Cannot connect to RSU!!!!!  At time: 1591741766.86 
 Cannot connect to RSU!!!!!  At time: 1591741773.26 
 Cannot connect to RSU!!!!!  At time: 1591741779.67 
 Cannot connect to RSU!!!!!  At time: 1591741786.08 
 Cannot connect to RSU!!!!!  At time: 1591741792.48 
 Cannot connect to RSU!!!!!  At time: 1591741798.89 
 Cannot connect to RSU!!!!!  At time: 1591741805.30 
 Cannot connect to RSU!!!!!  At time: 1591741811.70 
 Cannot connect to RSU!!!!!  At time: 1591741818.11 
 Cannot connect to RSU!!!!!  At time: 1591741824.52 
 Cannot connect to RSU!!!!!  At time: 1591741830.93 
 Cannot connect to RSU!!!!!  At time: 1591741837.34 
