group,A,B
Memorial-NBTT,19.662144,17.454013
Memorial-NBRT,24.061443,21.795265
Memorial-EBLT,44.493789,47.7899
Memorial-EBTT,31.972371,24.872158
Memorial-EBRT,27.36341,23.163281
Memorial-SBLT,30.704066,28.197712
Memorial-SBTT,19.833028,16.213119
Memorial-SBRT,19.327857,17.732978
Memorial-WBLT,35.37562,37.847085
Memorial-WBTT,20.089776,22.665075
Memorial-WBRT,24.691304,26.757743
Memorial-NBLT,35.966993,33.022332
