group,A,B
Meridian-NBRT,33.087746,30.30864
Meridian-EBTT,37.955416,31.142397
Meridian-EBRT,39.351703,30.414368
Meridian-WBLT,42.6299,47.345732
Meridian-WBTT,22.301945,24.667621
Meridian-NBLT,35.459613,33.3775
