group,A,B
Gavilan-NBTT,28.531895,25.144645
Gavilan-NBRT,24.596034,22.564066
Gavilan-EBLT,48.57749,43.078447
Gavilan-EBTT,33.068418,23.791538
Gavilan-EBRT,30.893927,19.981183
Gavilan-SBLT,62.865575,50.414241
Gavilan-SBTT,24.556336,21.665326
Gavilan-SBRT,26.418733,25.535347
Gavilan-WBLT,36.355782,39.965108
Gavilan-WBTT,19.603249,16.362297
Gavilan-WBRT,19.88111,20.988935
Gavilan-NBLT,50.011616,32.375223
