group,A,B
Dedication-EBLT,51.118462,57.359291
Dedication-EBTT,38.849274,34.781997
Dedication-SBLT,39.609391,34.128185
Dedication-SBRT,37.155829,32.078025
Dedication-WBTT,30.256037,27.566453
Dedication-WBRT,29.96487,28.230699
