group,A,B
Memorial-NBTT,33.252532,28.73628
Memorial-NBRT,37.400803,35.117455
Memorial-EBLT,59.423308,61.330615
Memorial-EBTT,48.115191,40.968468
Memorial-EBRT,42.147041,37.896453
Memorial-SBLT,45.894336,43.418859
Memorial-SBTT,34.876797,30.279507
Memorial-SBRT,33.132376,31.510085
Memorial-WBLT,51.190013,53.36352
Memorial-WBTT,36.156684,37.76196
Memorial-WBRT,38.623357,40.576222
Memorial-NBLT,50.149183,47.571037
