secMark,latitude,longitude,elevation,heading,speed
45000,32.2331208,-110.9529638,748.1,1.6e+02,0
45000,32.2331208,-110.9529638,748.1,1.6e+02,0
45000,32.2331208,-110.952964,748.2,1.6e+02,0
45000,32.2331208,-110.952964,748.2,1.6e+02,0
45000,32.2331203,-110.952964,748.2,1.6e+02,0
45000,32.2331203,-110.952964,748.2,1.6e+02,0
46000,32.2331195,-110.952964,748.3,1.6e+02,0
46000,32.2331195,-110.952964,748.3,1.6e+02,0
46000,32.233119,-110.9529638,748.3,1.6e+02,0
46000,32.233119,-110.9529638,748.3,1.6e+02,0
46000,32.2331186,-110.952964,748.3,1.6e+02,0
46000,32.2331186,-110.952964,748.3,1.6e+02,0
46000,32.2331178,-110.952964,748.4,1.6e+02,0
46000,32.2331178,-110.952964,748.4,1.6e+02,0
46000,32.2331173,-110.9529636,748.4,1.6e+02,0
46000,32.2331173,-110.9529636,748.4,1.6e+02,0
47000,32.2331166,-110.9529635,748.4,1.6e+02,0
47000,32.2331166,-110.9529635,748.4,1.6e+02,0
47000,32.2331161,-110.9529635,748.4,1.6e+02,0
47000,32.2331161,-110.9529635,748.4,1.6e+02,0
47000,32.233116,-110.9529633,748.5,1.6e+02,0
47000,32.233116,-110.9529633,748.5,1.6e+02,0
47000,32.2331158,-110.9529636,748.5,1.6e+02,0
47000,32.2331158,-110.9529636,748.5,1.6e+02,0
47000,32.2331154,-110.9529636,748.5,1.6e+02,0
47000,32.2331154,-110.9529636,748.5,1.6e+02,0
48000,32.2331149,-110.9529636,748.6,1.6e+02,0
48000,32.2331149,-110.9529636,748.6,1.6e+02,0
48000,32.2331138,-110.9529636,748.6,1.6e+02,0
48000,32.2331138,-110.9529636,748.6,1.6e+02,0
48000,32.2331131,-110.9529633,748.6,1.6e+02,0
48000,32.2331131,-110.9529633,748.6,1.6e+02,0
48000,32.2331131,-110.9529631,748.5,1.6e+02,0
48000,32.2331131,-110.9529631,748.5,1.6e+02,0
48000,32.233114,-110.9529631,748.5,1.6e+02,0
48000,32.233114,-110.9529631,748.5,1.6e+02,0
49000,32.2331151,-110.9529635,748.4,1.6e+02,0
49000,32.2331151,-110.9529635,748.4,1.6e+02,0
49000,32.233116,-110.9529636,748.3,1.6e+02,0
49000,32.233116,-110.9529636,748.3,1.6e+02,0
49000,32.2331166,-110.9529635,748.1,1.6e+02,0
49000,32.2331166,-110.9529635,748.1,1.6e+02,0
49000,32.2331174,-110.9529636,748,1.6e+02,0
49000,32.2331174,-110.9529636,748,1.6e+02,0
49000,32.2331173,-110.9529635,747.9,1.6e+02,0
49000,32.2331173,-110.9529635,747.9,1.6e+02,0
50000,32.2331173,-110.9529633,747.8,1.6e+02,0
50000,32.2331173,-110.9529633,747.8,1.6e+02,0
50000,32.2331176,-110.9529633,747.7,1.6e+02,0
50000,32.2331176,-110.9529633,747.7,1.6e+02,0
50000,32.2331186,-110.9529635,747.6,1.6e+02,0
50000,32.2331186,-110.9529635,747.6,1.6e+02,0
50000,32.233119,-110.9529633,747.4,1.6e+02,0
50000,32.233119,-110.9529633,747.4,1.6e+02,0
50000,32.233119,-110.9529631,747.3,1.6e+02,0
50000,32.233119,-110.9529631,747.3,1.6e+02,0
51000,32.2331198,-110.952963,747.1,1.6e+02,0
51000,32.2331198,-110.952963,747.1,1.6e+02,0
51000,32.2331201,-110.9529628,746.9,1.6e+02,0
51000,32.2331201,-110.9529628,746.9,1.6e+02,0
51000,32.2331208,-110.9529628,746.8,1.6e+02,0
51000,32.2331208,-110.9529628,746.8,1.6e+02,0
51000,32.2331215,-110.9529628,746.7,1.6e+02,0
51000,32.2331215,-110.9529628,746.7,1.6e+02,0
51000,32.2331226,-110.952963,746.5,1.6e+02,0
51000,32.2331226,-110.952963,746.5,1.6e+02,0
52000,32.2331231,-110.952963,746.3,1.6e+02,0
52000,32.2331231,-110.952963,746.3,1.6e+02,0
52000,32.2331238,-110.9529628,746.2,1.6e+02,0
52000,32.2331238,-110.9529628,746.2,1.6e+02,0
52000,32.2331241,-110.9529628,746.2,1.6e+02,0
52000,32.2331241,-110.9529628,746.2,1.6e+02,0
52000,32.2331243,-110.9529628,746.1,1.6e+02,0
52000,32.2331243,-110.9529628,746.1,1.6e+02,0
52000,32.2331246,-110.9529626,746,1.6e+02,0
52000,32.2331246,-110.9529626,746,1.6e+02,0
53000,32.2331246,-110.9529626,745.9,1.6e+02,0
53000,32.2331246,-110.9529626,745.9,1.6e+02,0
53000,32.2331251,-110.9529626,745.8,1.6e+02,0
53000,32.2331251,-110.9529626,745.8,1.6e+02,0
53000,32.233125,-110.9529625,745.8,1.6e+02,0
53000,32.233125,-110.9529625,745.8,1.6e+02,0
53000,32.2331256,-110.9529625,745.7,1.6e+02,0
53000,32.2331256,-110.9529625,745.7,1.6e+02,0
53000,32.2331253,-110.9529621,745.6,1.6e+02,0
53000,32.2331253,-110.9529621,745.6,1.6e+02,0
54000,32.2331253,-110.952962,745.6,1.6e+02,0
54000,32.2331253,-110.952962,745.6,1.6e+02,0
54000,32.233125,-110.952962,745.6,1.6e+02,0
54000,32.233125,-110.952962,745.6,1.6e+02,0
54000,32.2331254,-110.9529621,745.6,1.6e+02,0
54000,32.2331254,-110.9529621,745.6,1.6e+02,0
54000,32.2331254,-110.9529621,745.5,1.6e+02,0
54000,32.2331254,-110.9529621,745.5,1.6e+02,0
54000,32.2331256,-110.9529621,745.5,1.6e+02,0
54000,32.2331256,-110.9529621,745.5,1.6e+02,0
55000,32.2331263,-110.9529625,745.4,1.6e+02,0
55000,32.2331263,-110.9529625,745.4,1.6e+02,0
55000,32.2331271,-110.9529626,745.3,1.6e+02,0
55000,32.2331271,-110.9529626,745.3,1.6e+02,0
55000,32.2331276,-110.9529625,745.3,1.6e+02,0
55000,32.2331276,-110.9529625,745.3,1.6e+02,0
55000,32.2331281,-110.9529625,745.2,1.6e+02,0
55000,32.2331281,-110.9529625,745.2,1.6e+02,0
55000,32.2331286,-110.9529626,745.2,1.6e+02,0
55000,32.2331286,-110.9529626,745.2,1.6e+02,0
56000,32.233128,-110.9529623,745.1,1.6e+02,0
56000,32.233128,-110.9529623,745.1,1.6e+02,0
56000,32.2331281,-110.9529625,745.1,1.6e+02,0
56000,32.2331281,-110.9529625,745.1,1.6e+02,0
56000,32.2331275,-110.9529621,745.1,1.6e+02,0
56000,32.2331275,-110.9529621,745.1,1.6e+02,0
56000,32.233127,-110.9529618,745.1,1.6e+02,0
56000,32.233127,-110.9529618,745.1,1.6e+02,0
56000,32.2331264,-110.9529616,745,1.6e+02,0
56000,32.2331264,-110.9529616,745,1.6e+02,0
57000,32.2331275,-110.9529618,745,1.6e+02,0
57000,32.2331275,-110.9529618,745,1.6e+02,0
57000,32.2331276,-110.9529618,744.9,1.6e+02,0
57000,32.2331276,-110.9529618,744.9,1.6e+02,0
57000,32.2331288,-110.9529621,744.9,1.6e+02,0
