group,A,B
Meridian-NBRT,21.750874,19.384597
Meridian-EBTT,36.363726,23.706488
Meridian-EBRT,37.384831,25.707311
Meridian-WBLT,28.257392,33.894996
Meridian-WBTT,8.118289,9.482674
Meridian-NBLT,23.262351,20.764535
