group,A,B
Dedication-EBLT,46.344853,43.558718
Dedication-EBTT,23.184737,19.118261
Dedication-SBLT,25.224341,21.654251
Dedication-SBRT,24.109428,19.984858
Dedication-WBTT,15.759933,13.047688
Dedication-WBRT,16.92326,15.175828
