group,A,B
Hastings-NBRT,34.975673,30.505304
Hastings-EBTT,38.629207,29.095245
Hastings-EBRT,39.745639,26.018423
Hastings-WBLT,43.583752,48.640741
Hastings-WBTT,21.677099,21.655022
Hastings-NBLT,37.667413,34.686995
