group,A,B
Memorial-WBTT,17.198202,17.251282
Hastings-WBTT,14.248086,14.140644
Meridian-WBTT,15.572073,17.490182
Dedication-WBTT,14.713191,14.584975
Gavilan-WBTT,15.583125,16.042271
