group,A,B
Hastings-NBRT,25.947872,22.515215
Hastings-EBTT,27.136586,17.571981
Hastings-EBRT,28.660332,14.914849
Hastings-WBLT,31.224294,34.42365
Hastings-WBTT,7.606711,7.525232
Hastings-NBLT,24.905296,21.324384
