group,A,B
Memorial-WBTT,1.027801,1.12006
Hastings-WBTT,0.091346,0.001457
Meridian-WBTT,0.09812,5.854586
Dedication-WBTT,0.2193,0.733876
Gavilan-WBTT,0.4927,1.033098
